#Photon    Incoher. Photoel. 
#Energy    Scatter. Absorb.  

1.000E-03 1.069E-02 3.176E+03 
1.500E-03 2.060E-02 1.073E+03 
1.839E-03 2.766E-02 6.117E+02 
1.839E-03 2.766E-02 1.960E+03 
2.000E-03 3.099E-02 1.666E+03 
3.000E-03 5.029E-02 5.716E+02 
4.000E-03 6.648E-02 2.601E+02 
5.000E-03 7.980E-02 1.391E+02 
6.000E-03 9.074E-02 8.261E+01 
8.000E-03 1.074E-01 3.577E+01 
1.000E-02 1.193E-01 1.846E+01 
1.500E-02 1.377E-01 5.425E+00 
2.000E-02 1.476E-01 2.237E+00 
3.000E-02 1.561E-01 6.299E-01 
4.000E-02 1.582E-01 2.532E-01 
5.000E-02 1.576E-01 1.242E-01 
6.000E-02 1.557E-01 6.918E-02 
8.000E-02 1.504E-01 2.739E-02 
1.000E-01 1.447E-01 1.333E-02 
1.500E-01 1.318E-01 3.619E-03 
2.000E-01 1.213E-01 1.452E-03 
3.000E-01 1.059E-01 4.174E-04 
4.000E-01 9.501E-02 1.803E-04 
5.000E-01 8.684E-02 9.773E-05 
6.000E-01 8.036E-02 6.109E-05 
8.000E-01 7.064E-02 3.091E-05 
1.000E+00 6.353E-02 1.922E-05 
1.022E+00 6.286E-02 1.810E-05 
1.250E+00 5.682E-02 1.227E-05 
1.500E+00 5.164E-02 8.884E-06 
2.000E+00 4.408E-02 5.547E-06 
2.044E+00 4.353E-02 5.363E-06 
3.000E+00 3.467E-02 3.067E-06 
4.000E+00 2.893E-02 2.092E-06 
5.000E+00 2.498E-02 1.579E-06 
6.000E+00 2.208E-02 1.265E-06 
7.000E+00 1.985E-02 1.055E-06 
8.000E+00 1.806E-02 9.036E-07 
9.000E+00 1.660E-02 7.899E-07 
1.000E+01 1.538E-02 7.014E-07 
1.100E+01 1.435E-02 6.307E-07 
1.200E+01 1.346E-02 5.728E-07 
1.300E+01 1.267E-02 5.246E-07 
1.400E+01 1.199E-02 4.839E-07 
1.500E+01 1.138E-02 4.490E-07 
1.600E+01 1.084E-02 4.188E-07 
1.800E+01 9.909E-03 3.690E-07 
2.000E+01 9.138E-03 3.299E-07 
2.200E+01 8.487E-03 2.982E-07 
2.400E+01 7.931E-03 2.720E-07 
2.600E+01 7.447E-03 2.500E-07 
2.800E+01 7.025E-03 2.314E-07 
3.000E+01 6.652E-03 2.154E-07 
4.000E+01 5.285E-03 1.598E-07 
5.000E+01 4.413E-03 1.271E-07 
6.000E+01 3.801E-03 1.054E-07 
8.000E+01 2.998E-03 7.863E-08 
1.000E+02 2.489E-03 6.271E-08 
1.500E+02 1.772E-03 4.162E-08 
2.000E+02 1.390E-03 3.115E-08 
3.000E+02 9.848E-04 2.073E-08 
4.000E+02 7.713E-04 1.552E-08 
5.000E+02 6.386E-04 1.241E-08 
6.000E+02 5.467E-04 1.034E-08 
8.000E+02 4.270E-04 7.750E-09 
1.000E+03 3.513E-04 6.198E-09 
1.500E+03 2.453E-04 4.130E-09 
2.000E+03 1.899E-04 3.097E-09 
3.000E+03 1.320E-04 2.064E-09 
4.000E+03 1.019E-04 1.548E-09 
5.000E+03 8.332E-05 1.238E-09 
6.000E+03 7.066E-05 1.032E-09 
8.000E+03 5.442E-05 7.739E-10 
1.000E+04 4.443E-05 6.191E-10 
1.500E+04 3.071E-05 4.127E-10 
2.000E+04 2.361E-05 3.095E-10 
3.000E+04 1.629E-05 2.064E-10 
4.000E+04 1.250E-05 1.548E-10 
5.000E+04 1.018E-05 1.238E-10 
6.000E+04 8.607E-06 1.032E-10 
8.000E+04 6.599E-06 7.738E-11 
1.000E+05 5.368E-06 6.190E-11
